Date,Soil Moisture 10,Soil Moisture 20,Soil Moisture 30,date_uitheizen,precipitation
,,,,2021-07-04 03:41,0.2
,,,,2021-07-04 03:51,0.2
,,,,2021-07-04 04:01,0.5
,,,,2021-07-04 04:11,0.8
,,,,2021-07-04 04:21,1
,,,,2021-07-04 04:31,1
,,,,2021-07-04 04:41,0.8
,,,,2021-07-04 04:51,0.8
,,,,2021-07-04 05:01,0.5
,,,,2021-07-04 05:11,0.2
,,,,2021-07-04 05:21,0
,,,,2021-07-04 05:31,0
,,,,2021-07-04 05:41,0
,,,,2021-07-04 05:51,0
,,,,2021-07-04 06:01,0
,,,,2021-07-04 06:11,0
,,,,2021-07-04 06:21,0
,,,,2021-07-04 06:31,0
,,,,2021-07-04 06:41,0
,,,,2021-07-04 06:51,0
,,,,2021-07-04 07:01,0
,,,,2021-07-04 07:11,0
,,,,2021-07-04 07:21,0
,,,,2021-07-04 07:31,0
,,,,2021-07-04 07:41,0
,,,,2021-07-04 07:51,0
,,,,2021-07-04 08:01,0
,,,,2021-07-04 08:11,0
,,,,2021-07-04 08:21,0
,,,,2021-07-04 08:31,0
,,,,2021-07-04 08:41,0
,,,,2021-07-04 08:51,0
,,,,2021-07-04 09:01,0
,,,,2021-07-04 09:11,0
,,,,2021-07-04 09:21,0
,,,,2021-07-04 09:31,0
,,,,2021-07-04 09:41,0
,,,,2021-07-04 09:51,0
,,,,2021-07-04 10:01,0
,,,,2021-07-04 10:11,0
,,,,2021-07-04 10:21,0
,,,,2021-07-04 10:31,0
,,,,2021-07-04 10:41,0
,,,,2021-07-04 10:51,0
,,,,2021-07-04 11:01,0
,,,,2021-07-04 11:11,0
,,,,2021-07-04 11:21,0
,,,,2021-07-04 11:31,0
,,,,2021-07-04 11:41,0
,,,,2021-07-04 11:51,0
,,,,2021-07-04 12:01,0
,,,,2021-07-04 12:11,0
,,,,2021-07-04 12:21,0
,,,,2021-07-04 12:31,0
,,,,2021-07-04 12:41,0
,,,,2021-07-04 12:51,0
,,,,2021-07-04 13:01,0
,,,,2021-07-04 13:11,0
,,,,2021-07-04 13:21,0
,,,,2021-07-04 13:31,0
,,,,2021-07-04 13:41,0
,,,,2021-07-04 13:51,0
,,,,2021-07-04 14:01,0
,,,,2021-07-04 14:11,0
,,,,2021-07-04 14:21,0
,,,,2021-07-04 14:31,0
,,,,2021-07-04 14:41,0
,,,,2021-07-04 14:51,0
,,,,2021-07-04 15:01,0
,,,,2021-07-04 15:11,0
,,,,2021-07-04 15:21,0
,,,,2021-07-04 15:31,0
,,,,2021-07-04 15:41,0
,,,,2021-07-04 15:51,0
,,,,2021-07-04 16:01,0
,,,,2021-07-04 16:11,0
,,,,2021-07-04 16:21,0
,,,,2021-07-04 16:31,0
,,,,2021-07-04 16:41,0
,,,,2021-07-04 16:51,0
,,,,2021-07-04 17:01,0.8
,,,,2021-07-04 17:11,0.8
,,,,2021-07-04 17:21,2.5
,,,,2021-07-04 17:31,5.6
,,,,2021-07-04 17:41,10.2
,,,,2021-07-04 17:51,15.2
,,,,2021-07-04 18:01,21.3
,,,,2021-07-04 18:11,27.4
,,,,2021-07-04 18:21,31
,,,,2021-07-04 18:31,32.5
,,,,2021-07-04 18:41,31.8
,,,,2021-07-04 18:51,28.7
,,,,2021-07-04 19:01,21.6
,,,,2021-07-04 19:11,15.5
,,,,2021-07-04 19:21,10.9
,,,,2021-07-04 19:31,7.9
,,,,2021-07-04 19:41,5.1
,,,,2021-07-04 19:51,3.3
,,,,2021-07-04 20:01,3.3
,,,,2021-07-04 20:11,3.3
,,,,2021-07-04 20:21,2.8
,,,,2021-07-04 20:31,1
,,,,2021-07-04 20:41,0
,,,,2021-07-04 20:51,0
,,,,2021-07-04 21:01,0
,,,,2021-07-04 21:11,0
,,,,2021-07-04 21:21,0
,,,,2021-07-04 21:31,0
,,,,2021-07-04 21:41,0
,,,,2021-07-04 21:51,0
,,,,2021-07-04 22:01,0
,,,,2021-07-04 22:11,0
,,,,2021-07-04 22:21,0
,,,,2021-07-04 22:31,0
,,,,2021-07-04 22:41,0
,,,,2021-07-04 22:51,0
,,,,2021-07-04 23:01,0
,,,,2021-07-04 23:11,0
,,,,2021-07-04 23:21,0
,,,,2021-07-04 23:31,0
,,,,2021-07-04 23:41,0
,,,,2021-07-04 23:51,0
,,,,2021-07-05 00:01,0
,,,,2021-07-05 00:11,0
,,,,2021-07-05 00:21,0
,,,,2021-07-05 00:31,0
,,,,2021-07-05 00:41,0
,,,,2021-07-05 00:51,0
,,,,2021-07-05 01:01,0
,,,,2021-07-05 01:11,0
,,,,2021-07-05 01:21,0
,,,,2021-07-05 01:31,0
,,,,2021-07-05 01:41,0
,,,,2021-07-05 01:51,0
,,,,2021-07-05 02:02,0
,,,,2021-07-05 02:12,0
,,,,2021-07-05 02:32,0.2
,,,,2021-07-05 02:42,0.2
,,,,2021-07-05 02:52,0.2
,,,,2021-07-05 03:02,0.2
,,,,2021-07-05 03:12,0.2
,,,,2021-07-05 03:22,0.2
,,,,2021-07-05 03:32,0
,,,,2021-07-05 03:42,0
,,,,2021-07-05 03:52,0
,,,,2021-07-05 04:02,0
,,,,2021-07-05 04:12,0
,,,,2021-07-05 04:22,0
,,,,2021-07-05 04:32,0
,,,,2021-07-05 04:42,0
,,,,2021-07-05 04:52,0
,,,,2021-07-05 05:02,0
,,,,2021-07-05 05:12,0.5
,,,,2021-07-05 05:22,0.5
,,,,2021-07-05 05:32,0.5
,,,,2021-07-05 05:42,0.5
,,,,2021-07-05 05:52,0.5
,,,,2021-07-05 06:02,0.5
,,,,2021-07-05 06:12,0.2
,,,,2021-07-05 06:22,0
,,,,2021-07-05 06:32,0
,,,,2021-07-05 06:42,0
,,,,2021-07-05 06:52,0
,,,,2021-07-05 07:02,0
,,,,2021-07-05 07:12,0
,,,,2021-07-05 07:22,0
,,,,2021-07-05 07:32,0
,,,,2021-07-05 07:42,0
,,,,2021-07-05 07:52,0
,,,,2021-07-05 08:02,0
,,,,2021-07-05 08:12,0
,,,,2021-07-05 08:22,0
,,,,2021-07-05 08:32,0
,,,,2021-07-05 08:42,0
,,,,2021-07-05 08:52,0
,,,,2021-07-05 09:02,0
,,,,2021-07-05 09:12,0
,,,,2021-07-05 09:22,1
,,,,2021-07-05 09:32,2.5
,,,,2021-07-05 09:42,3.3
,,,,2021-07-05 09:52,4.1
,,,,2021-07-05 10:02,4.3
,,,,2021-07-05 10:12,4.8
,,,,2021-07-05 10:22,4.3
,,,,2021-07-05 10:32,3.3
,,,,2021-07-05 10:42,3
,,,,2021-07-05 10:52,2.8
,,,,2021-07-05 11:02,2.3
,,,,2021-07-05 11:12,2
,,,,2021-07-05 11:22,1.5
,,,,2021-07-05 11:32,1
,,,,2021-07-05 11:42,0.5
,,,,2021-07-05 11:52,0
,,,,2021-07-05 12:02,0
,,,,2021-07-05 12:12,0
,,,,2021-07-05 12:22,0
,,,,2021-07-05 12:32,0
,,,,2021-07-05 12:42,0
,,,,2021-07-05 12:52,0
,,,,2021-07-05 13:02,0
,,,,2021-07-05 13:12,0
,,,,2021-07-05 13:22,0
,,,,2021-07-05 13:32,0
,,,,2021-07-05 13:42,0
,,,,2021-07-05 13:52,0
,,,,2021-07-05 14:02,0
,,,,2021-07-05 14:12,0
,,,,2021-07-05 14:22,0
,,,,2021-07-05 14:32,0
,,,,2021-07-05 14:42,0
,,,,2021-07-05 14:52,0
,,,,2021-07-05 15:02,0
,,,,2021-07-05 15:12,0
,,,,2021-07-05 15:22,0
,,,,2021-07-05 15:32,0
,,,,2021-07-05 15:42,0
,,,,2021-07-05 15:52,0
,,,,2021-07-05 16:02,0
,,,,2021-07-05 16:12,0
,,,,2021-07-05 16:22,0
,,,,2021-07-05 16:32,0
,,,,2021-07-05 16:42,0
,,,,2021-07-05 16:52,0
,,,,2021-07-05 17:02,0
,,,,2021-07-05 17:12,0
,,,,2021-07-05 17:22,0
,,,,2021-07-05 17:32,0
,,,,2021-07-05 17:42,0
,,,,2021-07-05 17:52,0
,,,,2021-07-05 18:02,0
,,,,2021-07-05 18:12,0
,,,,2021-07-05 18:22,0
,,,,2021-07-05 18:32,0
,,,,2021-07-05 18:42,0
,,,,2021-07-05 18:52,0
,,,,2021-07-05 19:02,0
,,,,2021-07-05 19:12,0
,,,,2021-07-05 19:22,0
,,,,2021-07-05 19:32,0
,,,,2021-07-05 19:42,0
,,,,2021-07-05 19:52,0
,,,,2021-07-05 20:02,0
,,,,2021-07-05 20:12,0
,,,,2021-07-05 20:22,0
,,,,2021-07-05 20:32,0
,,,,2021-07-05 20:42,0
,,,,2021-07-05 20:52,0
,,,,2021-07-05 21:02,0
,,,,2021-07-05 21:12,0
,,,,2021-07-05 21:23,0
,,,,2021-07-05 21:33,0
,,,,2021-07-05 21:43,0
,,,,2021-07-05 21:53,0
,,,,2021-07-05 22:03,0
,,,,2021-07-05 22:13,0
,,,,2021-07-05 22:23,0
,,,,2021-07-05 22:33,0
,,,,2021-07-05 22:43,0
,,,,2021-07-05 22:53,0
,,,,2021-07-05 23:03,0
,,,,2021-07-05 23:13,0
,,,,2021-07-05 23:23,0
,,,,2021-07-05 23:33,0
,,,,2021-07-05 23:43,0
,,,,2021-07-05 23:53,0
,,,,2021-07-06 00:03,0
,,,,2021-07-06 00:13,0
,,,,2021-07-06 00:23,0
,,,,2021-07-06 00:33,0
,,,,2021-07-06 00:43,0
,,,,2021-07-06 00:53,0
,,,,2021-07-06 01:03,0
,,,,2021-07-06 01:13,0
,,,,2021-07-06 01:23,0
,,,,2021-07-06 01:33,0
,,,,2021-07-06 01:43,0
,,,,2021-07-06 01:53,0
,,,,2021-07-06 02:03,0
,,,,2021-07-06 02:13,0
,,,,2021-07-06 02:23,0
,,,,2021-07-06 02:33,0
