Date,Soil Moisture 10,Soil Moisture 20,Soil Moisture 30,date_tollebeek,precipitation
2021-07-06 08:08:52,32.9,35.9,33.3,2021-06-26 07:33,0
2021-07-06 07:08:52,32.9,36,33.3,2021-06-26 07:48,0
2021-07-06 06:08:52,32.9,36,33.4,2021-06-26 08:03,0
2021-07-06 05:08:52,32.9,36,33.4,2021-06-26 08:18,0
2021-07-06 03:08:52,32.8,36.1,33.4,2021-06-26 08:33,0
2021-07-06 02:08:52,32.9,36.2,33.5,2021-06-26 08:48,0
2021-07-06 01:08:52,32.9,36.1,33.5,2021-06-26 09:03,0
2021-07-06 00:08:52,32.9,36.2,33.6,2021-06-26 09:18,0
2021-07-07 23:08:53,31.7,34.4,32,2021-06-26 09:33,0
2021-07-07 22:08:53,31.6,34.4,31.9,2021-06-26 09:48,0
2021-07-07 21:08:52,31.7,34.4,32,2021-06-26 10:03,0
2021-07-07 20:08:52,31.7,34.5,31.9,2021-06-26 10:18,0
2021-07-07 19:08:52,31.7,34.4,31.9,2021-06-26 10:33,0
2021-07-07 18:08:52,31.7,34.4,31.9,2021-06-26 10:48,0
2021-07-07 17:08:52,31.7,34.4,31.9,2021-06-26 11:03,0
2021-07-07 16:08:52,31.7,34.3,31.9,2021-06-26 11:18,0
2021-07-07 15:08:52,31.8,34.4,31.9,2021-06-26 11:33,0
2021-07-07 14:08:52,31.9,34.5,31.9,2021-06-26 11:48,0
2021-07-07 12:08:52,32,34.4,31.9,2021-06-26 12:03,0
2021-07-07 11:08:52,32.1,34.5,32.1,2021-06-26 12:18,0
2021-07-07 10:08:52,32.3,34.7,32.1,2021-06-26 12:33,0
2021-07-07 09:08:52,32,34.5,32,2021-06-26 12:48,0
2021-07-07 08:08:52,31.9,34.6,32,2021-06-26 13:03,0
2021-07-07 07:08:52,32.1,34.6,32.1,2021-06-26 13:18,0
2021-07-07 06:08:52,32.1,34.7,32.2,2021-06-26 13:33,0
2021-07-07 05:08:52,32.1,34.8,32.3,2021-06-26 13:48,0
2021-07-07 04:08:52,32.2,35,32.5,2021-06-26 14:03,0
2021-07-07 03:08:52,32.2,35.1,32.5,2021-06-26 14:18,0
2021-07-07 02:08:52,32.3,35,32.6,2021-06-26 14:33,0
2021-07-07 01:08:52,32.2,35,32.6,2021-06-26 14:48,0
2021-07-07 00:08:52,32.2,35.1,32.5,2021-06-26 15:03,0
2021-07-08 23:11:47,31.1,33.7,31.5,2021-06-26 15:18,0
2021-07-08 22:11:47,31.2,33.8,31.4,2021-06-26 15:33,0
2021-07-08 21:11:47,31.1,33.8,31.5,2021-06-26 15:48,0
2021-07-08 20:11:47,31.2,33.8,31.5,2021-06-26 16:03,0
2021-07-08 19:11:47,31.2,33.8,31.5,2021-06-26 16:18,0
2021-07-08 18:11:47,31.1,33.7,31.4,2021-06-26 16:33,0
2021-07-08 17:11:47,31.2,33.7,31.5,2021-06-26 16:48,0
2021-07-08 16:11:47,31.2,33.7,31.4,2021-06-26 17:03,0
2021-07-08 15:11:47,31.3,33.7,31.5,2021-06-26 17:18,0
2021-07-08 14:11:47,31.5,33.8,31.4,2021-06-26 17:33,0
2021-07-08 13:11:47,31.5,33.8,31.5,2021-06-26 17:48,0
2021-07-08 12:11:47,31.6,33.9,31.5,2021-06-26 18:03,0
2021-07-08 11:11:47,31.5,33.7,31.5,2021-06-26 18:19,0
2021-07-08 10:11:47,31.6,33.8,31.6,2021-06-26 18:34,0
2021-07-08 09:11:47,31.7,33.9,31.6,2021-06-26 18:49,0
2021-07-08 08:08:53,31.5,34,31.6,2021-06-26 19:04,0
2021-07-08 07:08:53,31.6,33.9,31.6,2021-06-26 19:19,0
2021-07-08 06:08:53,31.5,34,31.7,2021-06-26 19:34,0
2021-07-08 05:08:53,31.6,34.1,31.8,2021-06-26 19:49,0
2021-07-08 04:08:53,31.5,34.3,31.8,2021-06-26 20:04,0
